,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,1,01/01/2020,"549,68","603,410313296384","711,68","603,613968311092","479,5","576,976831091183","299,5","152,245833333333"
,,2,02/01/2020,"635,4","697,509301900238","1047,44","888,390027776206",872,"1049,26756352766",161,"81,8416666666666"
,,3,03/01/2020,"524,52","575,7909647981","1042,44","884,149259675998",883,"1062,50373692078","260,5","132,420833333333"
,,4,04/01/2020,"550,84","604,683701382951","1190,78","1009,96436767295",829,"997,526158445444",150,"76,25"
,,5,05/01/2020,"55,14","60,5298440459224","27,34","23,188519971933",28,"33,6920777279523",0,0
,,6,06/01/2020,"801,8","880,174627421483","1080,42","916,362134165173","815,5","981,28176382661",400,"203,333333333333"
,,7,07/01/2020,"498,56","547,293417619425","1108,08","939,822063295519","723,5","870,579222720481","224,5","114,120833333333"
,,8,08/01/2020,"802,96","881,44801550805","1074,12","911,018766358911",776,"933,751868460391","340,5","173,0875"
,,9,09/01/2020,"772,98","848,537519960412","1161,86","985,435764981347","917,5","1104,01718983558",264,"134,2"
,,10,10/01/2020,"629,82","691,383866104513","968,04","821,046630344915",874,"1051,67414050822","205,5","104,4625"
,,11,11/01/2020,"329,88","362,125225859066","767,86","651,26323868502","709,5","853,733183856505","188,5","95,8208333333333"
,,12,12/01/2020,"55,98","61,4519526603325","55,08","46,7163013918825",55,"66,1808669656205",0,0
,,13,13/01/2020,"661,6","726,27030868303","1265,5","1073,33840616244",898,"1080,55306427504",332,"168,766666666667"
,,14,14/01/2020,"880,72","966,808927242016","769,86","652,959545925103",1068,"1285,11210762332","202,5","102,9375"
,,15,15/01/2020,"716,4","786,426918289786","1048,42","889,221218323847","821,5","988,501494768314",397,"201,808333333333"
,,16,16/01/2020,"800,18","878,396275093692","899,62","763,01595966168",969,"1165,98654708521",258,"131,15"
,,17,17/01/2020,"690,12","757,578091638955","1044,32","885,743788481677","1053,5","1267,6644245142",363,"184,525"
,,18,18/01/2020,"385,4","423,072214278174","992,66","841,928172470336",636,"765,29147982063","203,5","103,445833333333"
,,19,19/01/2020,0,0,0,0,"54,5","65,5792227204785",0,0
,,20,20/01/2020,"499,2","547,995976563737","1127,64","956,41194810353",917,"1103,41554559044",315,"160,125"
,,21,21/01/2020,"827,24","908,101345457904","996,72","845,371676167704","897,5","1079,9514200299",215,"109,291666666667"
,,22,22/01/2020,"606,06","665,301365296912","933,46","791,717478163883","942,5","1134,09940209268","321,5","163,429166666667"
,,23,23/01/2020,"774,16","849,832863013988","966,68","819,893141421659",680,"818,236173393126","262,5","133,4375"
,,24,24/01/2020,"772,88","848,427745125363","854,94","725,120455918229","918,5","1105,22047832586","255,5","129,879166666667"
,,25,25/01/2020,"552,14","606,110774238585","718,16","609,110003768961","591,5","711,745142002992","232,5","118,1875"
,,26,26/01/2020,0,0,"27,62","23,4260029855446","28,5","34,2937219730943",0,0
,,27,27/01/2020,"910,02","998,972953911322","1043,76","885,268822454453","949,5","1142,52242152467",292,"148,433333333333"
,,28,28/01/2020,"635,12","697,201932362101","938,14","795,686837105676",710,"854,334828101647",182,"92,5166666666666"
,,29,29/01/2020,"745,06","817,888386014779","1024,56","868,984272949658","714,5","859,749626307925",213,"108,275"
,,30,30/01/2020,554,"608,152586170493","993,02","842,233507773551","873,5","1051,07249626308","265,5","134,9625"
,,31,31/01/2020,"581,64","638,494350577989","1156,56","980,940550795128","850,5","1023,39686098655","289,5","147,1625"
,,32,01/02/2020,"525,42","576,778938313539","828,68","702,84794185594","749,5","901,864723467865",339,"172,325"
,,33,02/02/2020,"54,34","59,6516453655318","27,4","23,2394091891354",55,"66,1808669656205",0,0
,,34,03/02/2020,"826,6","907,398786513592","1271,62","1078,5291063171","1120,5","1348,28475336323",369,"187,575"
,,35,04/02/2020,"1021,28","1121,10843538665","1235,46","1047,8598714164",877,"1055,28400597908","324,5","164,954166666667"
,,36,05/02/2020,"635,72","697,860581372394","959,12","813,481100054146","918,5","1105,22047832586",265,"134,708333333333"
,,37,06/02/2020,"717,64","787,788126244391","1243,88","1055,00132489715",837,"1007,15246636772",230,"116,916666666667"
,,38,07/02/2020,"746,58","819,556963507522","859,82","729,259445584031","871,5","1048,66591928251","301,5","153,2625"
,,39,08/02/2020,"746,8","819,798468144629","993,96","843,03077217639","823,5","990,908071748882","156,5","79,5541666666666"
,,40,09/02/2020,"111,3","122,179391409343","110,86","94,026310317794","54,5","65,5792227204785",0,0
,,41,10/02/2020,"772,34","847,834961016099",879,"745,527032016426",1091,"1312,78774289985",302,"153,516666666667"
,,42,11/02/2020,"640,62","703,239548289786","1380,44","1170,82518325001",757,"910,889387144995",212,"107,766666666667"
,,43,12/02/2020,"665,5","730,551527249934","855,14","725,290086642237","924,5","1112,44020926757",327,"166,225"
